Jack of Spades, 4 of Hearts, 6 of Hearts, 3 of Hearts, 3 of Spades, ,One Pair,7.8%
4 of Diamonds, 10 of Spades, 3 of Hearts, Queen of Diamonds, Jack of Spades, ,High Card,0.0%
7 of Diamonds, 9 of Diamonds, 9 of Hearts, 5 of Spades, 4 of Clubs, ,One Pair,27.200000000000003%
3 of Spades, 8 of Hearts, 8 of Clubs, 9 of Hearts, 3 of Diamonds, ,Two Pair,74.6%
Queen of Diamonds, 5 of Spades, Queen of Spades, King of Clubs, Ace of Clubs, ,One Pair,61.4%
6 of Diamonds, 9 of Diamonds, Ace of Diamonds, 5 of Spades, 7 of Diamonds, ,High Card,0.0%
6 of Spades, 10 of Spades, 4 of Diamonds, Jack of Spades, 3 of Diamonds, ,High Card,0.0%
8 of Clubs, 10 of Spades, Queen of Diamonds, Ace of Hearts, Ace of Diamonds, ,High Card,0.0%
6 of Spades, 2 of Clubs, 10 of Spades, 7 of Hearts, 8 of Clubs, ,High Card,1.0%
4 of Clubs, 8 of Clubs, Jack of Spades, Queen of Clubs, Jack of Clubs, ,One Pair,46.0%
4 of Diamonds, 5 of Hearts, 10 of Spades, 7 of Clubs, Queen of Hearts, ,High Card,0.0%
7 of Diamonds, 4 of Clubs, 5 of Hearts, 3 of Diamonds, Queen of Clubs, ,High Card,0.0%
King of Diamonds, 5 of Diamonds, 4 of Spades, 3 of Clubs, 2 of Hearts, ,High Card,2.4%
9 of Diamonds, 2 of Spades, Queen of Clubs, 9 of Clubs, Ace of Clubs, ,One Pair,29.799999999999997%
2 of Diamonds, 6 of Hearts, 9 of Spades, 3 of Diamonds, Jack of Hearts, ,High Card,1.0%
Jack of Clubs, 10 of Hearts, Ace of Hearts, 8 of Diamonds, 8 of Spades, ,One Pair,25.0%
3 of Hearts, Queen of Spades, 7 of Diamonds, Jack of Diamonds, 5 of Diamonds, ,High Card,0.0%
7 of Diamonds, Queen of Diamonds, King of Diamonds, Ace of Diamonds, 2 of Diamonds, ,Flush,99.2%
Ace of Diamonds, 8 of Clubs, 10 of Clubs, 10 of Hearts, 2 of Diamonds, ,One Pair,30.2%
Queen of Clubs, 7 of Clubs, Jack of Hearts, Jack of Spades, Queen of Hearts, ,Two Pair,82.0%
7 of Spades, Jack of Clubs, 3 of Clubs, 3 of Spades, 7 of Hearts, ,Two Pair,72.2%
10 of Clubs, Queen of Diamonds, Queen of Clubs, 6 of Spades, Queen of Spades, ,Three of Kind,97.6%
6 of Diamonds, Ace of Spades, 9 of Clubs, King of Spades, 2 of Diamonds, ,High Card,4.0%
King of Spades, 10 of Spades, 2 of Spades, 2 of Diamonds, 6 of Clubs, ,One Pair,6.800000000000001%
King of Spades, 4 of Clubs, Queen of Clubs, Jack of Hearts, Queen of Spades, ,One Pair,66.8%
2 of Diamonds, 6 of Diamonds, Jack of Clubs, Jack of Diamonds, 9 of Clubs, ,One Pair,45.2%
6 of Clubs, 9 of Spades, 4 of Diamonds, 3 of Hearts, 2 of Spades, ,High Card,1.2%
8 of Hearts, 2 of Spades, 6 of Spades, 10 of Clubs, 7 of Hearts, ,High Card,0.4%
8 of Spades, Jack of Diamonds, 4 of Diamonds, 4 of Hearts, 2 of Hearts, ,One Pair,10.4%
Ace of Clubs, 4 of Hearts, Queen of Hearts, 3 of Hearts, 4 of Diamonds, ,One Pair,6.4%
6 of Hearts, Queen of Hearts, Jack of Hearts, 5 of Diamonds, 7 of Clubs, ,High Card,0.0%
8 of Hearts, 2 of Hearts, Ace of Hearts, 9 of Hearts, 3 of Spades, ,High Card,0.4%
6 of Clubs, 6 of Spades, 5 of Clubs, King of Spades, 10 of Hearts, ,One Pair,11.600000000000001%
8 of Clubs, 9 of Diamonds, 8 of Spades, 8 of Diamonds, 4 of Clubs, ,Three of Kind,93.4%
9 of Diamonds, King of Spades, Ace of Hearts, 7 of Hearts, 2 of Clubs, ,High Card,3.5999999999999996%
6 of Diamonds, 10 of Diamonds, 3 of Hearts, Ace of Hearts, 6 of Spades, ,One Pair,15.2%
7 of Hearts, 3 of Hearts, 5 of Hearts, 6 of Hearts, Queen of Diamonds, ,High Card,0.0%
